,Date,Open,High,Low,Close(t),Volume,SD20,Upper_Band,Lower_Band,MA5,MA10,MA20,MA50,MA200,EMA10,EMA20,EMA50,EMA100,EMA200,MACD,MACD_EMA,ATR,ADX,CCI,ROC,RSI,William%R,SO%K,STD5,ForceIndex1,ForceIndex20,Date_col,Day,DayofWeek,DayofYear,Week,Is_leap_year,Year,Month,QQQ_Close,QQQ(t-1),QQQ(t-2),QQQ(t-5),QQQ_MA10,QQQ_MA20,QQQ_MA50,SnP_Close,SnP(t-1)),SnP(t-5),DJIA_Close,DJIA(t-1)),DJIA(t-5),Close_forcast
0,2005-10-17,6.66,6.69,6.5,6.6,154208600,0.1692366763783311,6.827473352756664,6.150526647243339,6.4699999999999935,6.444000000000001,6.489000000000002,6.097800000000001,5.147099999999999,6.52367482478695,6.52367482478695,6.52367482478695,6.52367482478695,6.52367482478695,0.10802352583163,0.126359744676072,0.2268433485503184,25.267369611069203,1333.3333333333333,-1.7857142857142874,56.769237682369976,-25.00000000000005,74.99999999999996,0.0503723152504512,-10794602.000000045,15420859.999999946,2005-10-17,17,0,290,42,0,2005,10,33.65,33.55,33.3,33.61,33.69200000000002,33.99699999999998,34.269,1190.1,1186.57,1187.33,10348.1,10287.34,10238.76,6.45
1,2005-10-18,6.57,6.66,6.44,6.45,152397000,0.1683386311481922,6.819677262296386,6.146322737703617,6.485999999999994,6.425000000000002,6.483000000000001,6.121400000000001,5.159799999999999,6.499116549857966,6.499116549857966,6.499116549857966,6.499116549857966,6.499116549857966,0.0984003470308634,0.1207678651470303,0.2263545379395814,23.87300610927893,1333.3333333333333,-2.861445783132522,52.46822000243356,-41.30434782608695,58.69565217391305,0.0520955855549965,-22859549.99999992,-18287640.00000001,2005-10-18,18,1,291,42,0,2005,10,33.42,33.65,33.55,33.44,33.57000000000002,33.95249999999997,34.2466,1178.14,1190.1,1184.87,10285.26,10348.1,10253.17,6.78
2,2005-10-19,6.43,6.78,6.32,6.78,252170800,0.1803060264048317,6.8611120528096645,6.139887947190337,6.625999999999995,6.451000000000002,6.500500000000001,6.1488,5.173949999999999,6.592744366571978,6.592744366571978,6.592744366571978,6.592744366571978,6.592744366571978,0.1160642343290572,0.1198271389834357,0.2430434995153256,22.57824000047367,1333.3333333333333,3.987730061349704,59.70177018665224,-5.434782608695633,94.56521739130436,0.0470232821247554,83216364.00000001,88259780.00000013,2005-10-19,19,2,292,42,0,2005,10,34.09,33.42,33.65,33.05,33.56200000000002,33.95999999999998,34.233,1195.76,1178.14,1177.68,10414.13,10285.26,10216.91,6.93
3,2005-10-20,6.72,6.97,6.71,6.93,339440500,0.2026735773290975,6.931847154658197,6.121152845341806,6.685999999999995,6.506000000000003,6.526500000000001,6.1802,5.188699999999999,6.705162911047985,6.705162911047985,6.705162911047985,6.705162911047985,6.705162911047985,0.1405466048979651,0.1239710321663416,0.2442546781213737,22.19012955138239,1333.3333333333337,8.620689655172411,62.4956700345024,-3.773584905660382,96.2264150943396,0.0289186949800391,50916074.99999982,176509059.99999985,2005-10-20,20,3,293,42,0,2005,10,33.77,34.09,33.42,33.3,33.56700000000002,33.94549999999998,34.218999999999994,1177.8,1195.76,1176.84,10281.1,10414.13,10216.59,6.87
4,2005-10-21,7.02,7.03,6.83,6.87,199181500,0.2166800940508843,6.97486018810177,6.1081398118982335,6.725999999999994,6.560000000000004,6.541500000000002,6.209,5.203149999999998,6.760108607365324,6.760108607365324,6.760108607365324,6.760108607365324,6.760108607365324,0.1533399538633721,0.1298448165057477,0.2410936296841327,22.06352634245456,1333.3333333333333,8.530805687203792,60.68333299818895,-14.285714285714295,85.7142857142857,0.0300476794536883,-11950889.999999922,59754449.99999996,2005-10-21,21,4,294,42,0,2005,10,33.98,33.77,34.09,33.55,33.58600000000002,33.93649999999998,34.203399999999995,1179.59,1177.8,1186.57,10215.22,10281.1,10287.34,7.01
5,2005-10-24,6.82,7.01,6.8,7.01,152438300,0.2398788071199051,7.039257614239812,6.079742385760191,6.807999999999993,6.639000000000005,6.559500000000002,6.235399999999999,5.216849999999998,6.843405738243551,6.843405738243551,6.843405738243551,6.843405738243551,6.843405738243551,0.1727838602737232,0.1384326252593428,0.2388726561352661,21.76682291610217,1333.3333333333337,12.700964630225082,63.35375550960125,-1.7857142857143269,98.21428571428568,0.0288882034056073,21341361.99999995,54877787.99999991,2005-10-24,24,0,297,43,0,2005,10,34.52,33.98,33.77,33.65,33.677000000000014,33.953999999999986,34.2026,1199.38,1179.59,1190.1,10385.0,10215.22,10348.1,6.93
6,2005-10-25,6.96,7.02,6.87,6.93,116281900,0.2537591066553709,7.083518213310744,6.068481786689261,6.903999999999992,6.695000000000005,6.576000000000002,6.2562,5.230199999999999,6.872270492162367,6.872270492162367,6.872270492162367,6.872270492162367,6.872270492162367,0.179666876859911,0.1466794755794565,0.2325246092684613,21.534826765478623,1333.3333333333337,8.791208791208785,60.81196947211664,-8.928571428571475,91.07142857142853,0.0257115708282093,-9302552.000000007,38373027.00000001,2005-10-25,25,1,298,43,0,2005,10,34.39,34.52,33.98,33.42,33.77200000000001,33.96899999999998,34.195,1196.54,1199.38,1178.14,10377.87,10385.0,10285.26,7.04
7,2005-10-26,6.95,7.11,6.9,7.04,157898300,0.2657041290806979,7.143908258161398,6.0810917418386055,6.955999999999992,6.791000000000006,6.612500000000002,6.282800000000001,5.245499999999998,6.928180328108246,6.928180328108246,6.928180328108246,6.928180328108246,6.928180328108246,0.1917869966711993,0.155700979797805,0.2309157086064284,21.7099346772628,1333.3333333333337,15.789473684210526,63.009544380029645,-5.833333333333356,94.16666666666664,0.0163435447421036,17368813.000000052,115265759.00000007,2005-10-26,26,2,299,43,0,2005,10,34.21,34.39,34.52,34.09,33.88800000000001,33.97499999999998,34.195,1191.38,1196.54,1195.76,10344.98,10377.87,10414.13,6.84
8,2005-10-27,7.04,7.04,6.84,6.84,102885300,0.2678034432387536,7.167106886477508,6.095893113522494,6.937999999999993,6.812000000000007,6.631500000000001,6.3032,5.259499999999998,6.898786885405498,6.898786885405498,6.898786885405498,6.898786885405498,6.898786885405498,0.1831427942820811,0.1611893426946603,0.2287074437059692,21.465497710263232,1333.3333333333337,3.167420814479638,56.77545703627488,-22.50000000000004,77.49999999999997,0.0203076788929955,-20577060.00000002,39096413.99999999,2005-10-27,27,3,300,43,0,2005,10,33.52,34.21,34.39,33.77,33.91000000000001,33.92349999999998,34.1772,1178.9,1191.38,1177.8,10229.95,10344.98,10281.1,6.72
9,2005-10-28,6.92,6.97,6.69,6.72,192446800,0.2685100213752802,7.173520042750561,6.09947995724944,6.907999999999992,6.8170000000000055,6.636500000000001,6.323200000000001,5.271549999999999,6.839191256936999,6.839191256936999,6.839191256936999,6.839191256936999,6.839191256936999,0.164710524099358,0.1618935789755998,0.2323711977269714,20.308143892938222,1333.3333333333333,0.7496251874062941,53.36391917863858,-32.50000000000004,67.49999999999996,0.0213493525396611,-23093616.000000022,19244679.999999933,2005-10-28,28,4,301,43,0,2005,10,33.78,33.52,34.21,33.98,33.93300000000001,33.873499999999986,34.168,1198.41,1178.9,1179.59,10402.77,10229.95,10215.22,7.11
10,2005-10-31,6.81,7.16,6.76,7.11,235211200,0.2883236485545293,7.23264729710906,6.079352702890943,6.927999999999993,6.868000000000007,6.6560000000000015,6.3522,5.285449999999998,6.9294608379580005,6.9294608379580005,6.9294608379580005,6.9294608379580005,6.9294608379580005,0.1795033548781432,0.1654155341561085,0.2472018264607592,20.11717077949609,1333.3333333333337,7.727272727272738,61.46762055422252,-3.999999999999986,96.0,0.0346787490203284,91732368.00000012,91732368.00000012,2005-10-31,31,0,304,44,0,2005,10,34.26,33.78,33.52,34.52,33.994000000000014,33.84299999999998,34.1688,1207.01,1198.41,1199.38,10440.07,10402.77,10385.0,7.1
11,2005-11-01,7.07,7.18,7.02,7.1,187421500,0.3048537181562506,7.288707436312503,6.069292563687501,6.9619999999999935,6.933000000000005,6.679000000000002,6.381,5.299149999999998,6.9863072253053335,6.9863072253053335,6.9863072253053335,6.9863072253053335,6.9863072253053335,0.1882498364868414,0.1699823946222551,0.2409731245707049,20.02566353443984,1333.3333333333337,10.077519379844952,61.1740929180015,-7.272727272727282,92.72727272727272,0.0338967742190298,-1874215.0000001264,86213890.0,2005-11-01,1,1,305,44,0,2005,11,34.24,34.26,33.78,34.39,34.07600000000001,33.822999999999986,34.1688,1202.76,1207.01,1196.54,10406.77,10440.07,10377.87,7.4
12,2005-11-02,7.13,7.41,7.11,7.4,214265100,0.3419464408661968,7.406892881732396,6.039107118267608,7.033999999999994,6.995000000000006,6.723000000000002,6.416,5.3146,7.124204816870223,7.124204816870223,7.124204816870223,7.124204816870223,7.124204816870223,0.216888819667596,0.1793636796313233,0.2459036156727975,20.82782077376823,1333.3333333333337,9.144542772861358,66.36351649092899,-0.9174311926605312,99.08256880733948,0.0377823792592415,64279530.00000015,188553288.00000015,2005-11-02,2,2,306,44,0,2005,11,34.69,34.24,34.26,34.21,34.13600000000001,33.84899999999998,34.17979999999999,1214.76,1202.76,1191.38,10472.73,10406.77,10344.98,7.64
13,2005-11-03,7.44,7.69,7.42,7.64,221095700,0.3883487309649827,7.562697461929967,6.009302538070036,7.193999999999994,7.066000000000005,6.786000000000001,6.4558,5.33105,7.296136544580149,7.296136544580149,7.296136544580149,7.296136544580149,7.296136544580149,0.2560004011377872,0.1946910239326161,0.2490533574104548,22.39316414666155,1333.3333333333333,10.245310245310243,69.83686712201023,-3.6496350364964014,96.3503649635036,0.0313302909836089,53062967.99999985,278580581.99999994,2005-11-03,3,3,307,44,0,2005,11,35.21,34.69,34.24,33.52,34.280000000000015,33.92349999999998,34.2052,1219.94,1214.76,1178.9,10522.59,10472.73,10229.95,7.55
14,2005-11-04,7.45,7.56,7.36,7.55,219508800,0.4082581742502079,7.663516348500417,6.030483651499585,7.359999999999994,7.134000000000005,6.847000000000001,6.493,5.34705,7.380757696386766,7.380757696386766,7.380757696386766,7.380757696386766,7.380757696386766,0.2765465074048849,0.2110621206270699,0.2512638318811366,23.468138023702547,1333.3333333333333,9.898107714701595,67.04113627656577,-10.218978102189824,89.78102189781018,0.029531289205151,-19755791.99999997,267800735.99999997,2005-11-04,4,4,308,44,0,2005,11,35.33,35.21,34.69,33.78,34.415000000000006,34.00049999999999,34.231399999999994,1220.14,1219.94,1198.41,10530.76,10522.59,10402.77,7.44
15,2005-11-07,7.51,7.61,7.42,7.44,159707800,0.4007177770477792,7.70943555409556,6.106564445904443,7.425999999999993,7.177000000000004,6.908000000000001,6.528800000000001,5.362400000000001,7.400505130924511,7.400505130924511,7.400505130924511,7.400505130924511,7.400505130924511,0.2807174281850342,0.2249931821386627,0.2468878438896268,24.610415411029223,1333.3333333333333,6.134094151212563,63.6854181552317,-18.248175182481752,81.75182481751825,0.0262190823182792,-17567857.99999991,194843516.0000001,2005-11-07,7,0,311,45,0,2005,11,35.37,35.33,35.21,34.26,34.500000000000014,34.08849999999999,34.26079999999999,1222.81,1220.14,1207.01,10586.23,10530.76,10440.07,7.39
16,2005-11-08,7.4,7.45,7.3,7.39,118441400,0.3934851030417777,7.745970206083556,6.172029793916445,7.483999999999993,7.223000000000004,6.9590000000000005,6.563400000000001,5.377100000000001,7.397003420616341,7.397003420616341,7.397003420616341,7.397003420616341,7.397003420616341,0.2767975806118183,0.2353540618332938,0.2399672836117964,24.904750117683086,1333.3333333333337,6.637806637806637,62.162301405925206,-30.00000000000007,69.99999999999993,0.0268656510640079,-5922070.000000084,120810227.99999996,2005-11-08,8,1,312,45,0,2005,11,35.38,35.37,35.33,34.24,34.59900000000001,34.18549999999999,34.28499999999999,1218.59,1222.81,1202.76,10539.72,10586.23,10406.77,7.42
17,2005-11-09,7.41,7.56,7.41,7.42,138232500,0.3473114785864474,7.720622957172893,6.331377042827104,7.487999999999994,7.261000000000005,7.025999999999999,6.596800000000001,5.3919000000000015,7.40466894707756,7.40466894707756,7.40466894707756,7.40466894707756,7.40466894707756,0.2729652489734082,0.2428762992613167,0.234969620496668,25.537383175109056,1333.3333333333337,5.397727272727272,62.73813070820443,-27.00000000000005,72.99999999999996,0.0191194083058341,4146975.0000000345,185231550.0,2005-11-09,9,2,313,45,0,2005,11,35.4,35.38,35.37,34.69,34.71800000000001,34.30299999999999,34.31219999999999,1220.65,1218.59,1214.76,10546.21,10539.72,10472.73,7.55
18,2005-11-10,7.49,7.56,7.28,7.55,166336100,0.3529812877104028,7.777962575420806,6.366037424579194,7.4699999999999935,7.332000000000003,7.072,6.632000000000001,5.407250000000001,7.453112631385041,7.453112631385041,7.453112631385041,7.453112631385041,7.453112631385041,0.2772223652228209,0.2497455124536176,0.2381860761754774,25.33725661755285,1333.3333333333337,10.380116959064328,65.20896264842625,-14.000000000000057,85.99999999999994,0.0131647140941222,21623692.99999998,153029212.0,2005-11-10,10,3,314,45,0,2005,11,35.79,35.4,35.38,35.21,34.945000000000014,34.427499999999995,34.340799999999994,1230.96,1220.65,1219.94,10640.1,10546.21,10522.59,7.6
19,2005-11-11,7.6,7.67,7.57,7.6,106362200,0.3584509802792682,7.835401960558537,6.401598039441463,7.479999999999994,7.4200000000000035,7.1185,6.669800000000001,5.422400000000001,7.502075087590028,7.502075087590028,7.502075087590028,7.502075087590028,7.502075087590028,0.281387087466971,0.2560738274562882,0.2297442135915147,25.53700739915488,1333.3333333333333,13.095238095238091,66.1389776845005,-9.000000000000075,90.99999999999991,0.0124013620672266,5318109.999999981,98916845.99999996,2005-11-11,11,4,315,45,0,2005,11,35.88,35.79,35.4,35.33,35.155000000000015,34.544,34.3722,1234.72,1230.96,1220.14,10686.04,10640.1,10530.76,7.59
20,2005-11-14,7.6,7.65,7.52,7.59,92483300,0.3513672542631597,7.87073450852632,6.465265491473682,7.509999999999994,7.4680000000000035,7.168000000000001,6.707400000000002,5.436600000000001,7.531383391726687,7.531383391726687,7.531383391726687,7.531383391726687,7.531383391726687,0.2806456352369819,0.260988189012427,0.2226196269064066,25.419827472936248,1333.3333333333337,6.751054852320669,65.76035951642348,-10.000000000000052,89.99999999999994,0.0091221857796631,-924832.9999999804,91558467.0,2005-11-14,14,0,318,46,0,2005,11,35.88,35.88,35.79,35.37,35.31700000000002,34.6555,34.4064,1233.76,1234.72,1222.81,10697.17,10686.04,10586.23,7.69
